archetype,section_order,section,body
Logistics / Delivery,1,1. Which NBCI costs matter here,"Diesel and petrol as direct fuel, and inter-regional bus fares as the only movement price the dataset carries. Diesel is both the biggest mover here and the cost that does most to your total bill for every naira you spend on it."
Logistics / Delivery,2,2. What the data currently shows,"Diesel +158.2% from the 2025-09 trough to 2026-05, rising in all 37 jurisdictions. Its geographic spread is only 1.29x and its ranking is unstable. Intercity fares rose in 84.0% of the observations where petrol was cheaper year-on-year."
Logistics / Delivery,3,3. Why that could matter operationally,"Two pressures that point in opposite directions. Fuel changes a lot over TIME and very little by PLACE - there is no depot siting that meaningfully changes the diesel price you pay. If you buy third-party haulage instead of burning your own fuel, the ratchet finding matters more than the pump price."
Logistics / Delivery,4,4. What management should investigate internally,"Measure litres per kilometre by vehicle class and fuel as a share of total operating cost. Examine your contract repricing and surcharge clauses: do they reference a fuel index, and over what lag? Review route mix and empty-running rate. Put a pricing review on the agenda when diesel is flagged ELEVATED (26.0%) or EXTREME (52.04%) in your jurisdiction - 2026-04 flagged EXTREME in 25 of 37 at once, which is a portfolio-wide condition rather than a route-by-route one."
Logistics / Delivery,5,5. Boundary - what this cannot tell you,"NBS publishes PASSENGER fares, not freight rates - every use of intercity bus as a haulage proxy is an assumption. No driver wages, tyres, spares, insurance, tolls, levies or vehicle finance are in this dataset, and no fuel-burn or route data. Diesel ends 2026-05."
Logistics / Delivery,6,6. Company data needed before any decision,"Litres per km by vehicle class · fuel as a share of total cost · contract repricing and surcharge clauses · route mix and empty-running rate · maintenance and tyre cost per km · driver pay structure · vehicle finance terms · insurance, tolls and security levies"
Pharmacy / Healthcare Retail,1,1. Which NBCI costs matter here,"Diesel for backup power and cold chain, local mobility for staff and customers, and CPI change rates as a read on the customer's own squeeze. The NERC band is DisCo grain and must be read off the bill, never inferred from location."
Pharmacy / Healthcare Retail,2,2. What the data currently shows,Self-generation ran 3.9-5.2x the Band A reference tariff and was never cheaper than grid. Local fares rose while petrol fell. CPI food year-on-year ranged +1.67% to +32.67% across jurisdictions in 2026-04.
Pharmacy / Healthcare Retail,3,3. Why that could matter operationally,"Cold chain makes uninterrupted power a clinical requirement, not a convenience, so the question is not 'generator or grid' but how many generator hours are genuinely unavoidable. Separately, discretionary health spend is demand-sensitive, and a squeeze that varies fivefold across jurisdictions makes one national pricing or stocking posture hard to defend."
Pharmacy / Healthcare Retail,4,4. What management should investigate internally,"Read the service band off your bill and obtain the current tariff, then re-run the comparison. Measure outage hours against generator running hours. Measure cold-chain load as a share of consumption. Compare your jurisdiction's CPI food year-on-year against the cross-jurisdiction median before reading a sales dip as an execution problem."
Pharmacy / Healthcare Retail,5,5. Boundary - what this cannot tell you,"THIS CANNOT CALCULATE OR INFER A PHARMACY'S PROFITABILITY, MARGIN OR VIABILITY. It describes the external operating-cost environment only. Every item in the list above is absent from this dataset. DisCo territories are not jurisdictions, so no premises can be assigned a tariff band from this data."
Pharmacy / Healthcare Retail,6,6. Company data needed before any decision,Medicine and product ACQUISITION COSTS · rent · salaries · monthly kWh and the band letter from the bill · generator fuel burn per hour and load factor · measured outage hours · cold-chain load share · supplier terms and credit · inventory turnover · sales and gross margin by category · local customer demand
Restaurant / Food Service,1,1. Which NBCI costs matter here,"Cooking gas in both cylinder sizes - never averaged, they are different products - diesel for backup power, local mobility for staff and customers, and food inputs, which exist only at ZONE grain."
Restaurant / Food Service,2,2. What the data currently shows,"LPG is the most volatile cost in the dataset: a typical monthly move of 7.2-7.8% and an upper quartile of 19-22%. Its jurisdiction ranking is unusable - monthly moves are about 2.1x the entire spread. Food inputs carry a 24-percentage-point North-South gradient, South East +12.49% above national and North West -11.30% below."
Restaurant / Food Service,3,3. Why that could matter operationally,"Volatility, not level, is what breaks a menu cost card: a cost that moves 20% in a quarter outruns a price list reviewed annually. And procurement geography matters for food at zone level while meaning nothing for LPG, so the two inputs call for different sourcing logic."
Restaurant / Food Service,4,4. What management should investigate internally,"Measure LPG kilograms per month and cylinder mix. Put a menu cost-card review on the agenda when LPG 12.5 kg is flagged ELEVATED (26.70%) or EXTREME (29.55%) - it was EXTREME in 20 of 37 jurisdictions in 2025-11. For food inputs, compare at zone level and investigate actual supplier prices at your own location, which is the only way past the zone ceiling."
Restaurant / Food Service,5,5. Boundary - what this cannot tell you,"FOOD HAS NO JURISDICTION-LEVEL PRICES AT ALL - six zones only, so a Lagos restaurant inherits South West pricing averaged over six states. No rent, wages, water, waste or packaging. The LPG series ends 2026-04, one month before the fuels."
Restaurant / Food Service,6,6. Company data needed before any decision,LPG kg per month and cylinder mix · actual supplier prices at your own location · menu cost cards with ingredient weights · covers per day and seasonality · rent · wage bill · waste rate · water and packaging cost · local customer demand
"Retail (non-food, shop-based)",1,1. Which NBCI costs matter here,"Overheads and the demand side: backup power, inbound movement, local mobility governing both staff commute and customer footfall, and the customer's own price pressure. Nothing here describes what a retailer BUYS."
"Retail (non-food, shop-based)",2,2. What the data currently shows,"Consumer pressure differs sharply by jurisdiction - all-items year-on-year ranged +5.91% to +25.74% and food +1.67% to +32.67% in 2026-04, against medians of 15.36% and 17.37%. Inbound movement rose: intercity bus +29.90% over the window."
"Retail (non-food, shop-based)",3,3. Why that could matter operationally,"Footfall and basket size respond to the customer's squeeze, and a squeeze that varies fivefold means a sales dip in one location may be demand compression rather than execution failure. Local mobility also governs whether customers can reach you cheaply, which is a siting consideration in a way fuel is not."
"Retail (non-food, shop-based)",4,4. What management should investigate internally,"Compare your jurisdiction's CPI food year-on-year against the cross-jurisdiction median before reading a sales dip as an execution problem. Revisit inbound freight terms when intercity bus is flagged ELEVATED (10.19%) - 2026-03 was EXTREME in 21 of 37 jurisdictions. Use CPI CHANGE RATES only, never index levels."
"Retail (non-food, shop-based)",5,5. Boundary - what this cannot tell you,"WE HOLD NOTHING ON WHAT A RETAILER BUYS - no wholesale prices, no rent, no wages, no shrinkage, no payment costs. CPI describes the CUSTOMER's cost pressure, not the retailer's cost base; using it as a proxy for goods cost or wage settlements is unsupported. Intercity bus fare is a passenger fare, not a freight rate."
"Retail (non-food, shop-based)",6,6. Company data needed before any decision,Wholesale invoices and category margins · rent and service charge by site · footfall and conversion by location · basket composition · staff cost by site · shrinkage · payment processing cost · actual inbound freight rates · local customer demand and competitor density
