rank,headline,section_order,section,body
1,Petrol falling does not automatically make transport cheaper,1,1. What we found,"In 81 jurisdiction-month pairs where petrol was CHEAPER than a year earlier, fares still rose: okada, water and air in 100% of observations, intracity bus in 98.8%, intercity bus in 84.0%."
1,Petrol falling does not automatically make transport cheaper,2,2. Why it matters,Fares move up with fuel and then stay up. A business that budgeted for transport costs to ease when the pump price eased would not have seen that saving arrive. Over four usable year-on-year months okada fares rose a median +50.7% while headline inflation ran +16.2% - a gap of 35.6 percentage points.
1,Petrol falling does not automatically make transport cheaper,3,3. Who should pay attention,"Anyone who buys movement rather than fuel: last-mile delivery, staff commuting and transport allowances, field sales and service teams, and any business whose customers travel to reach it."
1,Petrol falling does not automatically make transport cheaper,4,4. What to review,"Compare what you actually paid for delivery and staff transport over the last year against the pump price over the same months. If your allowances are indexed to CPI alone, examine whether that has kept pace with observed fares."
1,Petrol falling does not automatically make transport cheaper,5,5. Boundary - what this cannot prove,"These are PASSENGER fares, not freight rates - treating intercity bus as a haulage proxy is an assumption, not a measurement. No causal claim: petrol is one observed input among many, and the observations fall in only four months, so they are not independent events."
2,Diesel-dependent operations deserve closer attention than most,1,1. What we found,"Diesel rose a median +158.2% from its 2025-09 trough to 2026-05 and rose in ALL 37 jurisdictions - the slowest was +115.1%. It also carries the highest exposure effect on total cost of anything measured here: for every 1% of your spending that goes on diesel, a doubling moves your total cost by 0.66%."
2,Diesel-dependent operations deserve closer attention than most,2,2. Why it matters,"A cost that more than doubled matters in proportion to how much of it you buy. For an operation where diesel is a large share - haulage, cold chain, long generator hours - this is a material move. For one where it is a small share it may be close to irrelevant. The dataset cannot tell which you are."
2,Diesel-dependent operations deserve closer attention than most,3,3. Who should pay attention,"Logistics and delivery fleets, cold-chain operators including pharmacy and food retail, manufacturers running generators as baseload, and any business whose premises depend on backup power for long hours."
2,Diesel-dependent operations deserve closer attention than most,4,4. What to review,"Measure your own diesel dependence before drawing any conclusion: litres per month, litres per kilometre or per operating hour, and diesel as a share of total operating cost. Then work out what that share means for you."
2,Diesel-dependent operations deserve closer attention than most,5,5. Boundary - what this cannot prove,"The multiplier converts a price move into a total-cost impact only once you supply your own cost share, which this dataset does not hold. It says nothing about whether you can pass the increase on."
3,Location changes some costs a great deal and others barely at all,1,1. What we found,"Across the 37 jurisdictions, water transport varies 6.91x between the lowest and highest measured value and okada 2.32x. Petrol varies 1.14x and diesel 1.29x - the entire national petrol spread is ₦195.16 per litre."
3,Location changes some costs a great deal and others barely at all,2,2. Why it matters,Comparing two locations on a single cost can mislead badly. On fuel the difference is close to noise; on local mobility it is large and it persists. A comparison built on the wrong cost family will point the wrong way.
3,Location changes some costs a great deal and others barely at all,3,3. Who should pay attention,"Any business with a genuinely open siting decision, and any business setting standing supplier or depot preferences on the assumption that location delivers a fuel saving."
3,Location changes some costs a great deal and others barely at all,4,4. What to review,"Identify which cost families you actually buy in volume, and compare candidate locations on those - naming the specific metric, not 'cost' in general. Examine whether a siting assumption in your plan rests on a cost that barely varies."
3,Location changes some costs a great deal and others barely at all,5,5. Boundary - what this cannot prove,"LOWER MEASURED COST IS NOT A BETTER BUSINESS LOCATION. This compares input prices only. Demand, purchasing power, supplier access and competition are not in this dataset and routinely outweigh an input-cost difference. For five of the nine costs the order of jurisdictions keeps changing, so no jurisdiction is named as the cheapest over time. Each single month's ranking is still valid."
4,Self-generation ran several times grid cost at the reference tariff,1,1. What we found,"Diesel self-generation cost 3.9-5.2x the fixed July 2025 Band A reference tariff of ₦209.50/kWh, and was never cheaper than grid at any band or in any month of the series. Break-even needs diesel at ₦628.50/l against a cheapest observed ₦1,266.33."
4,Self-generation ran several times grid cost at the reference tariff,2,2. Why it matters,"Generator hours beyond genuinely unavoidable outage hours are a priced decision, not a neutral one. The multiple widened from 2.01x to 5.17x in eight months, so a comparison made a year ago is out of date."
4,Self-generation ran several times grid cost at the reference tariff,3,3. Who should pay attention,"Manufacturing and light production, pharmacy and any cold-chain retail, and offices or shops running long generator hours by habit rather than by measured need."
4,Self-generation ran several times grid cost at the reference tariff,4,4. What to review,"Read the service band off your own electricity bill and obtain the CURRENT tariff, then re-run the comparison. Measure actual outage hours and compare them against generator running hours. Before an inverter, battery or solar investment, compare payback against the grid tariff you actually pay."
4,Self-generation ran several times grid cost at the reference tariff,5,5. Boundary - what this cannot prove,"The tariff is a FIXED July 2025 cross-section, roughly ten months older than the diesel series - if tariffs have since risen the true multiples are smaller. DisCo territories are not jurisdictions, so no premises can be assigned a band from this data; it must be read off the bill."
5,"For five of nine costs, the cheapest place keeps changing",1,1. What we found,"For air travel, diesel, LPG 5 kg, LPG 12.5 kg and petrol, the cheapest place keeps changing. Across the 37 jurisdictions, which means the 36 states plus the Federal Capital Territory, a single month's price move is usually bigger than the whole gap between the cheapest and the dearest, so the order reshuffles. Each month's ranking is still a correct snapshot of that month. What the data cannot do is reliably name one jurisdiction as the cheapest OVER TIME. The other four costs - water transport, okada, intracity bus and intercity bus - do hold their order."
5,"For five of nine costs, the cheapest place keeps changing",2,2. Why it matters,"A 'cheapest places' list taken from one month is a true picture of that month and a poor basis for a decision you will live with for years, because next month's list is different. A standing supplier or site preference built on those five costs is built on something that keeps moving."
5,"For five of nine costs, the cheapest place keeps changing",3,3. Who should pay attention,"Anyone choosing a supplier they intend to keep, and anyone building a shortlist of locations from a single month's price table."
5,"For five of nine costs, the cheapest place keeps changing",4,4. What to review,"Where the order keeps changing, look at volume and contract terms instead, because that is where the real lever is. Reassess any standing preference that was justified by a one-month price comparison."
5,"For five of nine costs, the cheapest place keeps changing",5,5. Boundary - what this cannot prove,"This is about decisions that last, not about data quality. Every published monthly ranking is correct for its own month and remains a valid snapshot. What it will not support is a lasting location or sourcing choice based on that order."
6,"Inflation slowed, but diesel and local fares kept climbing much faster",1,1. What we found,"The inflation rate reported in the news - CPI all items, compared with the same month a year earlier - fell from a median 22.34% in February 2025 to 15.36% in April 2026, though not in a straight line. Over those same months the median diesel price rose 70.49%, and from its low point in September 2025 to May 2026 diesel rose 158.16%. In the four months where fares and inflation can be compared year on year, okada fares rose a median 50.66% and intracity bus fares 39.37%, against inflation of 16.23%. This is about those measured costs, not about everything a business buys."
6,"Inflation slowed, but diesel and local fares kept climbing much faster",2,2. Why it matters,"A business that raised its budgets or its staff transport allowances by the headline inflation rate would not have kept up with its diesel bill or its transport bill. What customers face is uneven too: food inflation ran from +1.67% to +32.67% across jurisdictions in April 2026, so one national pricing or stocking plan is hard to defend."
6,"Inflation slowed, but diesel and local fares kept climbing much faster",3,3. Who should pay attention,"Anyone raising transport or cost allowances in line with the inflation rate, and retail or service businesses in several locations running one national pricing plan."
6,"Inflation slowed, but diesel and local fares kept climbing much faster",4,4. What to review,"Compare the specific costs you actually buy against the inflation rate, rather than using the inflation rate in their place. If you operate in several jurisdictions, compare your own jurisdiction's food inflation against the middle value across all 37, which is 17.37%."
6,"Inflation slowed, but diesel and local fares kept climbing much faster",5,5. Boundary - what this cannot prove,"This compares the nine measured input costs with inflation. It says nothing about rent, wages, goods for resale, taxes or finance, so it is NOT a statement about a business's whole cost base. The windows differ and are not interchangeable: the inflation figures run February 2025 to April 2026, the diesel low-point figure runs September 2025 to May 2026, and the fare comparison uses only four months. CPI describes the CUSTOMER's cost pressure, not a business's cost base. CPI index LEVELS may never be compared between jurisdictions - only rates of change."
